source,group,split,case,audit,gt,label,hybrid_trace,hybrid_column,hybrid_positive_frames,response_episode_count,response_episode_onsets,first_response_frame,backward36_window_start,eligible_candidate_count,eligible_candidate_frames,backward36_score,backward36_best_frame,future_pair_score_36,max_event_score,status
OLD29,FRESH20,FRESH20,Cosmos3_seed101_0004,CONTACT,CONTACT,1.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/pipeline20_e2e_v1/motion_hybrid/Cosmos3_seed101_0004_hybrid_trace.csv,hybrid_candidate,76,4,"41,80,87,110",41.0,5.0,3,"30,59,75",0.2136088335662172,59.0,9.44331704862626,9.44331704862626,OK
OLD29,PRIMARY9,PRIMARY9,Cosmos3_seed101_0006,CONTACT,CONTACT,1.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/motion_primary9_hybrid_veto_v1/Cosmos3_seed101_0006_hybrid_trace.csv,hybrid_candidate,64,3,"95,124,142",95.0,59.0,8,"60,68,80,89,92,104,116,117",35.078548200844764,60.0,35.078548200844764,35.078548200844764,OK
OLD29,FRESH20,FRESH20,Cosmos3_seed101_0014,PENETRATION,UNRESOLVED,,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/pipeline20_e2e_v1/motion_hybrid/Cosmos3_seed101_0014_hybrid_trace.csv,hybrid_candidate,82,7,"45,72,78,133,150,160,180",45.0,9.0,8,"33,60,65,72,108,123,154,158",20.475462928800894,108.0,20.475462928800894,20.475462928800894,OK
OLD29,FRESH20,FRESH20,Cosmos3_seed101_0015,CONTACT,CONTACT,1.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/pipeline20_e2e_v1/motion_hybrid/Cosmos3_seed101_0015_hybrid_trace.csv,hybrid_candidate,53,2,"129,171",129.0,93.0,8,"95,110,122,127,147,158,159,171",9.709080005723868,122.0,9.709080005723868,9.709080005723868,OK
OLD29,PRIMARY9,PRIMARY9,Cosmos3_seed101_0022,CONTACT,CONTACT,1.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/motion_primary9_hybrid_veto_v1/Cosmos3_seed101_0022_hybrid_trace.csv,hybrid_candidate,59,2,"86,120",86.0,50.0,5,"63,78,90,105,117",55.519821261854815,78.0,88.68286675858208,88.68286675858208,OK
OLD29,PRIMARY9,PRIMARY9,Cosmos3_seed101_0023,NO_CONTACT,NO_CONTACT,0.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/motion_primary9_hybrid_veto_v1/Cosmos3_seed101_0023_hybrid_trace.csv,hybrid_candidate,65,1,124,124.0,88.0,2,"95,117",0.0068099880689827,117.0,1.6154021134729093,1.6154021134729093,OK
OLD29,PRIMARY9,PRIMARY9,Cosmos3_seed101_0025,NO_CONTACT,NO_CONTACT,0.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/motion_primary9_hybrid_veto_v1/Cosmos3_seed101_0025_hybrid_trace.csv,hybrid_candidate,17,3,"117,156,175",117.0,81.0,6,"90,103,115,153,158,170",8.306510661445541,103.0,8.306510661445541,8.306510661445541,OK
OLD29,FRESH20,FRESH20,Cosmos3_seed101_0029,CONTACT,CONTACT,1.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/pipeline20_e2e_v1/motion_hybrid/Cosmos3_seed101_0029_hybrid_trace.csv,hybrid_candidate,5,1,130,130.0,94.0,5,"95,104,118,128,130",79.20742406767062,130.0,79.20742406767062,79.20742406767062,OK
OLD29,FRESH20,FRESH20,Cosmos3_seed101_0034,CONTACT,CONTACT,1.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/pipeline20_e2e_v1/motion_hybrid/Cosmos3_seed101_0034_hybrid_trace.csv,hybrid_candidate,43,1,130,130.0,94.0,2,"100,113",0.0550834038708705,113.0,7.582335675583208,7.582335675583208,OK
OLD29,FRESH20,FRESH20,Cosmos3_seed101_0040,UNSCORED,UNRESOLVED,,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/pipeline20_e2e_v1/motion_hybrid/Cosmos3_seed101_0040_hybrid_trace.csv,hybrid_candidate,0,0,,,,0,,,,,21.414942966733506,ABSTAIN_NO_RELIABLE_RESPONSE
OLD29,FRESH20,FRESH20,Cosmos3_seed101_0042,CONTACT,CONTACT,1.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/pipeline20_e2e_v1/motion_hybrid/Cosmos3_seed101_0042_hybrid_trace.csv,hybrid_candidate,2,0,,,,0,,,,24.89084369821776,24.89084369821776,ABSTAIN_NO_RELIABLE_RESPONSE
OLD29,PRIMARY9,PRIMARY9,Cosmos3_seed102_0014,NO_CONTACT,NO_CONTACT,0.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/motion_primary9_hybrid_veto_v1/Cosmos3_seed102_0014_hybrid_trace.csv,hybrid_candidate,16,2,"165,177",165.0,129.0,3,"130,145,166",7.1521097008911125,166.0,14.9862158756494,14.9862158756494,OK
OLD29,FRESH20,FRESH20,Cosmos3_seed102_0015,CONTACT,CONTACT,1.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/pipeline20_e2e_v1/motion_hybrid/Cosmos3_seed102_0015_hybrid_trace.csv,hybrid_candidate,19,1,172,172.0,136.0,4,"138,150,154,163",39.52572902164562,138.0,39.52572902164562,39.52572902164562,OK
OLD29,FRESH20,FRESH20,Cosmos3_seed102_0019,CONTACT,CONTACT,1.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/pipeline20_e2e_v1/motion_hybrid/Cosmos3_seed102_0019_hybrid_trace.csv,hybrid_candidate,72,4,"97,104,164,180",97.0,61.0,6,"65,70,82,94,96,158",28.76379731246848,70.0,28.76379731246848,28.76379731246848,OK
OLD29,PRIMARY9,PRIMARY9,Cosmos3_seed102_0022,NO_CONTACT,NO_CONTACT,0.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/motion_primary9_hybrid_veto_v1/Cosmos3_seed102_0022_hybrid_trace.csv,hybrid_candidate,14,1,161,161.0,125.0,2,"139,154",0.0018480943807762,154.0,0.3704255956342378,0.6551218700999727,OK
OLD29,FRESH20,FRESH20,Cosmos3_seed102_0025,CONTACT,CONTACT,1.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/pipeline20_e2e_v1/motion_hybrid/Cosmos3_seed102_0025_hybrid_trace.csv,hybrid_candidate,71,4,"93,107,137,181",93.0,57.0,8,"79,91,100,107,119,130,132,160",5.380463069088333,107.0,18.498285700377256,18.498285700377256,OK
OLD29,FRESH20,FRESH20,Cosmos3_seed102_0027,UNSCORED,UNRESOLVED,,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/pipeline20_e2e_v1/motion_hybrid/Cosmos3_seed102_0027_hybrid_trace.csv,hybrid_candidate,1,0,,,,0,,,,0.3973747273619233,19.53385800424592,ABSTAIN_NO_RELIABLE_RESPONSE
OLD29,FRESH20,FRESH20,Cosmos3_seed102_0029,NO_CONTACT,NO_CONTACT,0.0,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/pipeline20_e2e_v1/motion_hybrid/Cosmos3_seed102_0029_hybrid_trace.csv,hybrid_candidate,26,4,"107,120,143,172",107.0,71.0,5,"92,99,111,136,150",20.475462928800894,111.0,20.475462928800894,20.475462928800894,OK
