split,case,audit,eval_gt,target,frame,proposal_source,geom_d_norm,geom_d_px,p_separated,p_ambiguous,p_contact,contact_score,motion_any_video,motion_trace,motion_column,roi_dir,pre_12,post_12,order_factor_12,future_score_12,ordered_score_12,pre_24,post_24,order_factor_24,future_score_24,ordered_score_24,pre_36,post_36,order_factor_36,future_score_36,ordered_score_36,event_p_separated,event_p_ambiguous,event_p_contact,contact_event_score
PRIMARY9,Cosmos3_seed101_0023,NO_CONTACT,0.0,yellow cube,33,TEMPORAL_BIN,3.184159340237721,61.99772262573242,0.3198759431604963,0.6798277743007166,0.000296282538787,34.021016968914545,1,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/motion_primary9_hybrid_veto_v1/Cosmos3_seed101_0023_hybrid_trace.csv,hybrid_candidate,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/vlm_contact_oracle9/whole_video_causal_v1/candidate_rois/PRIMARY9/Cosmos3_seed101_0023/frame_0033,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.999615331430179,0.0002612586988646745,0.00012340987095630916,0.025403922038864643
PRIMARY9,Cosmos3_seed101_0023,NO_CONTACT,0.0,yellow cube,52,TEMPORAL_BIN,2.3080577292021123,44.86390686035156,0.4999812145078993,0.4999812145078993,3.757098420143668e-05,25.00281782381511,1,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/motion_primary9_hybrid_veto_v1/Cosmos3_seed101_0023_hybrid_trace.csv,hybrid_candidate,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/vlm_contact_oracle9/whole_video_causal_v1/candidate_rois/PRIMARY9/Cosmos3_seed101_0023/frame_0052,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1.0,25.00281782381511,25.00281782381511,0.9998834107014326,5.8294649283760845e-05,5.8294649283760845e-05,0.008744197392564127
PRIMARY9,Cosmos3_seed101_0023,NO_CONTACT,0.0,yellow cube,95,TEMPORAL_BIN,1.4895983881004973,29.064298629760746,0.8524356203356447,0.1475535908572603,1.0788807094955482e-05,7.378758423572511,1,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/motion_primary9_hybrid_veto_v1/Cosmos3_seed101_0023_hybrid_trace.csv,hybrid_candidate,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/vlm_contact_oracle9/whole_video_causal_v1/candidate_rois/PRIMARY9/Cosmos3_seed101_0023/frame_0095,1,1,0.5,7.378758423572511,3.689379211786256,1,1,0.5,7.378758423572511,3.689379211786256,1,1,0.5,7.378758423572511,3.689379211786256,0.9999837256931164,6.1442127049821185e-06,1.0130094178409989e-05,0.0013202200530901048
PRIMARY9,Cosmos3_seed101_0023,NO_CONTACT,0.0,yellow cube,117,GLOBAL_CLOSEST,0.6553369434027239,12.829299926757812,0.1193867075378861,0.8804338018068809,0.000179490655233,44.03963915586734,1,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/motion_primary9_hybrid_veto_v1/Cosmos3_seed101_0023_hybrid_trace.csv,hybrid_candidate,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/vlm_contact_oracle9/whole_video_causal_v1/candidate_rois/PRIMARY9/Cosmos3_seed101_0023/frame_0117,0,1,1.0,44.03963915586734,44.03963915586734,1,1,0.5,44.03963915586734,22.01981957793367,1,1,0.5,44.03963915586734,22.01981957793367,0.9999092001590805,4.539992045988511e-05,4.539992045988511e-05,0.006809988068982767
PRIMARY9,Cosmos3_seed101_0023,NO_CONTACT,0.0,yellow cube,126,TEMPORAL_BIN,0.278972546494155,5.477200031280518,0.0018114144570569,0.7293508435270477,0.2688377420158954,63.351316377941934,1,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/motion_primary9_hybrid_veto_v1/Cosmos3_seed101_0023_hybrid_trace.csv,hybrid_candidate,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/vlm_contact_oracle9/whole_video_causal_v1/candidate_rois/PRIMARY9/Cosmos3_seed101_0023/frame_0126,1,1,0.5,63.351316377941934,31.675658188970967,1,1,0.5,63.351316377941934,31.675658188970967,1,1,0.5,63.351316377941934,31.675658188970967,0.9922742341992892,0.0024785902340503456,0.005247175566660595,0.6486470683685768
PRIMARY9,Cosmos3_seed101_0023,NO_CONTACT,0.0,yellow cube,129,TEMPORAL_BIN+GLOBAL_CLOSEST,0.0,0.0,0.0007560952913742,0.8171018075537401,0.1821420971548856,59.06930009317557,1,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/motion_primary9_hybrid_veto_v1/Cosmos3_seed101_0023_hybrid_trace.csv,hybrid_candidate,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/vlm_contact_oracle9/whole_video_causal_v1/candidate_rois/PRIMARY9/Cosmos3_seed101_0023/frame_0129,1,1,0.5,59.06930009317557,29.534650046587785,1,1,0.5,59.06930009317557,29.534650046587785,1,1,0.5,59.06930009317557,29.534650046587785,0.99363468034739,0.003182659826305054,0.003182659826305054,0.47739897394575814
PRIMARY9,Cosmos3_seed101_0023,NO_CONTACT,0.0,yellow cube,141,GLOBAL_CLOSEST,0.0,0.0,0.0138258529191757,0.9723482941616484,0.0138258529191757,49.99999999999999,1,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/motion_primary9_hybrid_veto_v1/Cosmos3_seed101_0023_hybrid_trace.csv,hybrid_candidate,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/vlm_contact_oracle9/whole_video_causal_v1/candidate_rois/PRIMARY9/Cosmos3_seed101_0023/frame_0141,1,1,0.5,49.99999999999999,25.0,1,1,0.5,49.99999999999999,25.0,1,1,0.5,49.99999999999999,25.0,0.9991385146905716,0.0004307426547142387,0.0004307426547142387,0.06461139820713581
PRIMARY9,Cosmos3_seed101_0023,NO_CONTACT,0.0,yellow cube,153,GLOBAL_CLOSEST,0.0,0.0,0.0005525514802237,0.7765322715104747,0.2229151770093015,61.11813127645389,1,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/motion_primary9_hybrid_veto_v1/Cosmos3_seed101_0023_hybrid_trace.csv,hybrid_candidate,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/vlm_contact_oracle9/whole_video_causal_v1/candidate_rois/PRIMARY9/Cosmos3_seed101_0023/frame_0153,1,1,0.5,61.11813127645389,30.559065638226947,1,1,0.5,61.11813127645389,30.559065638226947,1,1,0.5,61.11813127645389,30.559065638226947,0.9846141531568677,0.00864956154143685,0.0067362853016953265,1.1061066072413752
PRIMARY9,Cosmos3_seed101_0023,NO_CONTACT,0.0,yellow cube,158,TEMPORAL_BIN,0.0,0.0,0.0004053661325765,0.4376460202956149,0.5619486135718087,78.07716237196162,1,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/motion_primary9_hybrid_veto_v1/Cosmos3_seed101_0023_hybrid_trace.csv,hybrid_candidate,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/vlm_contact_oracle9/whole_video_causal_v1/candidate_rois/PRIMARY9/Cosmos3_seed101_0023/frame_0158,1,1,0.5,78.07716237196162,39.03858118598081,1,1,0.5,78.07716237196162,39.03858118598081,1,1,0.5,78.07716237196162,39.03858118598081,0.9784613051536944,0.01076934742315273,0.01076934742315273,1.6154021134729093
PRIMARY9,Cosmos3_seed101_0023,NO_CONTACT,0.0,yellow cube,165,GLOBAL_CLOSEST,0.0,0.0,0.0007331105472637,0.6224615450148062,0.37680534443793,68.8036116945333,1,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/motion_primary9_hybrid_veto_v1/Cosmos3_seed101_0023_hybrid_trace.csv,hybrid_candidate,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/vlm_contact_oracle9/whole_video_causal_v1/candidate_rois/PRIMARY9/Cosmos3_seed101_0023/frame_0165,1,1,0.5,68.8036116945333,34.40180584726665,1,1,0.5,68.8036116945333,34.40180584726665,1,1,0.5,68.8036116945333,34.40180584726665,0.9943386464256491,0.002478673631645067,0.003182679942705974,0.44220167585285075
