case,human_onset,nearest_candidate,nearest_delta,nearest_event_score,best_event_frame,best_event_score,oracle_v6_score
Cosmos3_seed101_0004,118,118,0,0.6551218700999727,159,9.44331704862626,50.419479086137095
Cosmos3_seed101_0014,72,72,0,11.350433822458124,108,20.475462928800894,65.9663039918063
Cosmos3_seed101_0015,127,127,0,2.521766135487797,122,9.709080005723868,54.7637383001956
Cosmos3_seed101_0029,128,128,0,69.0314270370882,130,79.20742406767062,94.02582660126536
Cosmos3_seed101_0034,129,139,10,0.6709860672777721,159,7.582335675583208,52.97679244987407
Cosmos3_seed101_0042,88,85,-3,11.317133241417924,123,24.89084369821776,83.97657458809647
Cosmos3_seed102_0015,165,163,-2,7.953899356313713,138,39.52572902164562,54.76946387180944
Cosmos3_seed102_0019,96,96,0,3.6783755449957822,70,28.76379731246848,51.15370398032761
Cosmos3_seed102_0025,105,107,2,5.380463069088333,144,18.498285700377256,57.36179821948392
Cosmos3_seed102_0029,105,99,-6,0.4070013602998053,111,20.475462928800894,49.68465649451282
Cosmos3_seed102_0036,82,79,-3,0.2503238176280951,67,11.350433822458124,51.10546894019245
Cosmos3_seed102_0042,106,105,-1,5.060452046827049,93,5.695239355912678,61.13142198522957
Cosmos3_seed103_0003,75,75,0,1.5409679113122383,106,76.91867903338876,51.1131198080798
Cosmos3_seed103_0004,55,49,-6,0.4773989739457581,111,50.0,52.99063375957628
Cosmos3_seed103_0028,149,149,0,11.895254149238758,149,11.895254149238758,51.45323128753139
Cosmos3_seed103_0035,188,158,-30,16.35518435525671,140,21.76810433975689,49.89760100536988
Cosmos3_seed103_0036,90,93,3,1.396503035544604,63,13.655903224901657,57.36807729268114
